datescrap,marketplace,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
2023-05-31,Tokopedia,54,2933,2987,Perlengkapan Pesta & Craft,Persiapan Pernikahan,Buku Tamu
2023-05-31,Tokopedia,54,2933,2990,Perlengkapan Pesta & Craft,Persiapan Pernikahan,Dekorasi Pernikahan
2023-05-31,Tokopedia,54,2933,2991,Perlengkapan Pesta & Craft,Persiapan Pernikahan,Mahar & Seserahan
2023-05-31,Tokopedia,54,2933,2988,Perlengkapan Pesta & Craft,Persiapan Pernikahan,Souvenir Pernikahan
2023-05-31,Tokopedia,54,2933,2989,Perlengkapan Pesta & Craft,Persiapan Pernikahan,Undangan Pernikahan
2023-05-31,Tokopedia,4029,4085,4269,Pertukangan,Tenaga Surya,Solar Cables
2023-05-31,Tokopedia,4029,4085,4268,Pertukangan,Tenaga Surya,Solar Charge Controller
2023-05-31,Tokopedia,4029,4085,4267,Pertukangan,Tenaga Surya,Solar Inverter
2023-05-31,Tokopedia,4029,4085,4266,Pertukangan,Tenaga Surya,Solar Panel
2023-05-31,Tokopedia,297,3842,3967,Komputer & Laptop,Software,Anti-Virus
2023-05-31,Tokopedia,297,3842,3963,Komputer & Laptop,Software,Edukasi
2023-05-31,Tokopedia,297,3842,3965,Komputer & Laptop,Software,Multimedia
2023-05-31,Tokopedia,297,3842,3960,Komputer & Laptop,Software,Sistem Operasi
2023-05-31,Tokopedia,297,3842,3975,Komputer & Laptop,Software,Work Services
2023-05-31,Tokopedia,4030,4031,4099,Perawatan Hewan,Perlengkapan Hewan,Alas Kandang Hewan
2023-05-31,Tokopedia,4030,4031,4101,Perawatan Hewan,Perlengkapan Hewan,Disinfektan Kandang
2023-05-31,Tokopedia,4030,4031,4042,Perawatan Hewan,Perlengkapan Hewan,Kandang Hewan
2023-05-31,Tokopedia,4030,4031,4050,Perawatan Hewan,Perlengkapan Hewan,Pet Cargo
2023-05-31,Tokopedia,4030,4031,4049,Perawatan Hewan,Perlengkapan Hewan,Pet Toy
2023-05-31,Tokopedia,4030,4031,4097,Perawatan Hewan,Perlengkapan Hewan,Susu Hewan
2023-05-31,Tokopedia,4030,4031,4350,Perawatan Hewan,Perlengkapan Hewan,Tempat Makan Hewan
2023-05-31,Tokopedia,4030,4031,4096,Perawatan Hewan,Perlengkapan Hewan,Tempat Minum Hewan
2023-05-31,Tokopedia,4030,4031,4100,Perawatan Hewan,Perlengkapan Hewan,Tempat Tidur Hewan
2023-05-31,Tokopedia,642,1247,647,Office & Stationery,Surat-Menyurat,Amplop
2023-05-31,Tokopedia,642,1247,1126,Office & Stationery,Surat-Menyurat,Kartu Pos
2023-05-31,Tokopedia,642,1247,1102,Office & Stationery,Surat-Menyurat,Kertas Surat
2023-05-31,Tokopedia,642,1247,1125,Office & Stationery,Surat-Menyurat,Perangko
2023-05-31,Tokopedia,642,1247,1127,Office & Stationery,Surat-Menyurat,Stempel
2023-05-31,Tokopedia,642,1106,1250,Office & Stationery,Pengikat & Perekat,Cord Holder
2023-05-31,Tokopedia,642,1106,3861,Office & Stationery,Pengikat & Perekat,Double Tape
2023-05-31,Tokopedia,642,1106,1110,Office & Stationery,Pengikat & Perekat,Klip Kertas
2023-05-31,Tokopedia,642,1106,1107,Office & Stationery,Pengikat & Perekat,Lem Kertas
2023-05-31,Tokopedia,62,3411,3555,Olahraga,Yoga & Pilates,Balok Yoga
2023-05-31,Tokopedia,62,3411,3553,Olahraga,Yoga & Pilates,Resistance Band
2023-05-31,Tokopedia,642,1106,3863,Office & Stationery,Pengikat & Perekat,Lem Serbaguna
2023-05-31,Tokopedia,642,1106,1108,Office & Stationery,Pengikat & Perekat,Selotip & Lakban
2023-05-31,Tokopedia,62,3411,3551,Olahraga,Yoga & Pilates,Yoga Mat
2023-05-31,Tokopedia,642,1106,1109,Office & Stationery,Pengikat & Perekat,Staples
2023-05-31,Tokopedia,642,1106,653,Office & Stationery,Pengikat & Perekat,Stiker & Label
2023-05-31,Tokopedia,61,5375,5376,Kecantikan,Suplemen Kecantikan Collagen,Suplemen Kecantikan Bubuk
2023-05-31,Tokopedia,61,5375,5377,Kecantikan,Suplemen Kecantikan Collagen,Suplemen Kecantikan Kapsul
2023-05-31,Tokopedia,61,5375,5378,Kecantikan,Suplemen Kecantikan Collagen,Suplemen Kecantikan Lainnya
2023-05-31,Tokopedia,61,2204,2254,Kecantikan,Styling Rambut Wanita,Alat Potong Rambut
2023-05-31,Tokopedia,61,2204,2253,Kecantikan,Styling Rambut Wanita,Catokan Rambut
